region,parent,family,mark
SSp-m6a,SS,Isocortex,bottom
SSp-m6b,SS,Isocortex,bottom
SSp-ul,SS,Isocortex,bottom
SSp-ul1,SS,Isocortex,bottom
SSp-ul2/3,SS,Isocortex,bottom
SSp-ul4,SS,Isocortex,bottom
SSp-ul5,SS,Isocortex,bottom
SSp-ul6a,SS,Isocortex,bottom
SSp-ul6b,SS,Isocortex,bottom
SSp-tr,SS,Isocortex,bottom
SSp-tr1,SS,Isocortex,bottom
SSp-tr2/3,SS,Isocortex,bottom
SSp-tr4,SS,Isocortex,bottom
SSp-tr5,SS,Isocortex,bottom
SSp-tr6a,SS,Isocortex,bottom
SSp-tr6b,SS,Isocortex,bottom
SSp-un,SS,Isocortex,bottom
SSp-un1,SS,Isocortex,bottom
SSp-un2/3,SS,Isocortex,bottom
SSp-un4,SS,Isocortex,bottom
SSp-un5,SS,Isocortex,bottom
SSp-un6a,SS,Isocortex,bottom
SSp-un6b,SS,Isocortex,bottom
SSs,SS,Isocortex,bottom
SSs1,SS,Isocortex,bottom
SSs2/3,SS,Isocortex,bottom
SSs4,SS,Isocortex,bottom
SSs5,SS,Isocortex,bottom
SSs6a,SS,Isocortex,bottom
SSs6b,SS,Isocortex,bottom
GU,GU,Isocortex,bottom
GU1,GU,Isocortex,bottom
GU2/3,GU,Isocortex,bottom
GU4,GU,Isocortex,bottom
GU5,GU,Isocortex,bottom
GU6a,GU,Isocortex,bottom
GU6b,GU,Isocortex,bottom
VISC,VISC,Isocortex,bottom
VISC1,VISC,Isocortex,bottom
VISC2/3,VISC,Isocortex,bottom
VISC4,VISC,Isocortex,bottom
VISC5,VISC,Isocortex,bottom
VISC6a,VISC,Isocortex,bottom
VISC6b,VISC,Isocortex,bottom
AUD,AUD,Isocortex,bottom
AUDd,AUD,Isocortex,bottom
AUDd1,AUD,Isocortex,bottom
AUDd2/3,AUD,Isocortex,bottom
AUDd4,AUD,Isocortex,bottom
AUDd5,AUD,Isocortex,bottom
AUDd6a,AUD,Isocortex,bottom
AUDd6b,AUD,Isocortex,bottom
