region,parent,family,mark
AV,AV,TH,bottom
AM,AM,TH,bottom
AMd,AM,TH,bottom
AMv,AM,TH,bottom
AD,AD,TH,bottom
IAM,IAM,TH,bottom
IAD,IAD,TH,bottom
LD,LD,TH,bottom
MED,TH,TH,upper
IMD,IMD,TH,bottom
MD,MD,TH,bottom
MDc,MD,TH,bottom
MDl,MD,TH,bottom
MDm,MD,TH,bottom
SMT,SMT,TH,bottom
PR,PR,TH,bottom
MTN,TH,TH,upper
PVT,PVT,TH,bottom
PT,PT,TH,bottom
RE,RE,TH,bottom
Xi,Xi,TH,bottom
ILM,TH,TH,upper
RH,RH,TH,bottom
CM,CM,TH,bottom
PCN,PCN,TH,bottom
CL,CL,TH,bottom
PF,PF,TH,bottom
PIL,PIL,TH,bottom
RT,RT,TH,bottom
GENv,TH,TH,upper
IGL,IGL,TH,bottom
IntG,IntG,TH,bottom
LGv,LGv,TH,bottom
LGvl,LGv,TH,bottom
LGvm,LGv,TH,bottom
SubG,SubG,TH,bottom
EPI,TH,TH,upper
MH,MH,TH,bottom
LH,LH,TH,bottom
PIN,PIN,TH,bottom
HY,HY,HY,upper
PVZ,HY,HY,upper
SO,SO,HY,bottom
ASO,ASO,HY,bottom
NC,ASO,HY,bottom
PVH,PVH,HY,bottom
PVHm,PVH,HY,bottom
PVHam,PVH,HY,bottom
PVHmm,PVH,HY,bottom
PVHpm,PVH,HY,bottom
PVHpml,PVH,HY,bottom
PVHpmm,PVH,HY,bottom
PVHp,PVH,HY,bottom
PVHap,PVH,HY,bottom
PVHmpd,PVH,HY,bottom
PVHpv,PVH,HY,bottom
PVa,PVa,HY,bottom
PVi,PVi,HY,bottom
ARH,ARH,HY,bottom
PVR,HY,HY,upper
ADP,ADP,HY,bottom
AHA,AHA,HY,bottom
AVP,AVP,HY,bottom
AVPV,AVPV,HY,bottom
DMH,DMH,HY,bottom
DMHa,DMH,HY,bottom
DMHp,DMH,HY,bottom
DMHv,DMH,HY,bottom
MEPO,MEPO,HY,bottom
MPO,MPO,HY,bottom
OV,OV,HY,bottom
PD,PD,HY,bottom
PS,PS,HY,bottom
PSCH,PSCH,HY,bottom
PVp,PVp,HY,bottom
PVpo,PVpo,HY,bottom
SBPV,SBPV,HY,bottom
SCH,SCH,HY,bottom
SFO,SFO,HY,bottom
VMPO,VMPO,HY,bottom
VLPO,VLPO,HY,bottom
MEZ,HY,HY,upper
AHN,AHN,HY,bottom
AHNa,AHN,HY,bottom
AHNc,AHN,HY,bottom
AHNd,AHN,HY,bottom
AHNp,AHN,HY,bottom
MBO,MBO,HY,bottom
LM,MBO,HY,bottom
MM,MBO,HY,bottom
MMme,MBO,HY,bottom
MMl,MBO,HY,bottom
MMm,MBO,HY,bottom
MMp,MBO,HY,bottom
MMd,MBO,HY,bottom
SUM,MBO,HY,bottom
SUMl,MBO,HY,bottom
SUMm,MBO,HY,bottom
TM,MBO,HY,bottom
TMd,MBO,HY,bottom
TMv,MBO,HY,bottom
MPN,MPN,HY,bottom
MPNc,MPN,HY,bottom
MPNl,MPN,HY,bottom
MPNm,MPN,HY,bottom
PMd,PMd,HY,bottom
PMv,PMv,HY,bottom
PVHd,PVHd,HY,bottom
PVHdp,PVHd,HY,bottom
PVHf,PVHd,HY,bottom
PVHlp,PVHd,HY,bottom
PVHmpv,PVHd,HY,bottom
VMH,VMH,HY,bottom
VMHa,VMH,HY,bottom
VMHc,VMH,HY,bottom
VMHdm,VMH,HY,bottom
VMHvl,VMH,HY,bottom
PH,PH,HY,bottom
LZ,HY,HY,upper
LHA,LHA,HY,bottom
LPO,LPO,HY,bottom
PST,PST,HY,bottom
PSTN,PSTN,HY,bottom
PeF,PeF,HY,bottom
RCH,RCH,HY,bottom
STN,STN,HY,bottom
TU,TU,HY,bottom
ZI,ZI,HY,bottom
A13,ZI,HY,bottom
FF,ZI,HY,bottom
ME,ME,HY,bottom
MB,MB,MB,upper
MBsen,MB,MB,upper
SCs,SCs,MB,bottom
SCop,SCs,MB,bottom
SCsg,SCs,MB,bottom
SCzo,SCs,MB,bottom
IC,IC,MB,bottom
ICc,IC,MB,bottom
ICd,IC,MB,bottom
ICe,IC,MB,bottom
NB,NB,MB,bottom
SAG,SAG,MB,bottom
PBG,PBG,MB,bottom
MEV,MEV,MB,bottom
SCO,SCO,MB,bottom
MBmot,MB,MB,upper
SNr,SNr,MB,bottom
VTA,VTA,MB,bottom
PN,PN,MB,bottom
RR,RR,MB,bottom
MRN,MRN,MB,bottom
MRNm,MRN,MB,bottom
MRNmg,MRN,MB,bottom
MRNp,MRN,MB,bottom
SCm,SCm,MB,bottom
SCdg,SCm,MB,bottom
SCdw,SCm,MB,bottom
SCiw,SCm,MB,bottom
SCig,SCm,MB,bottom
SCig-a,SCm,MB,bottom
SCig-b,SCm,MB,bottom
SCig-c,SCm,MB,bottom
PAG,PAG,MB,bottom
PRC,PAG,MB,bottom
INC,PAG,MB,bottom
ND,PAG,MB,bottom
Su3,PAG,MB,bottom
PRT,PRT,MB,bottom
APN,PRT,MB,bottom
MPT,PRT,MB,bottom
NOT,PRT,MB,bottom
NPC,PRT,MB,bottom
OP,PRT,MB,bottom
PPT,PRT,MB,bottom
RPF,PRT,MB,bottom
InCo,InCo,MB,bottom
CUN,CUN,MB,bottom
RN,RN,MB,bottom
III,III,MB,bottom
MA3,MA3,MB,bottom
EW,EW,MB,bottom
IV,IV,MB,bottom
Pa4,Pa4,MB,bottom
VTN,VTN,MB,bottom
AT,AT,MB,bottom
LT,LT,MB,bottom
DT,DT,MB,bottom
MT,MT,MB,bottom
SNl,SNl,MB,bottom
MBsta,MB,MB,upper
SNc,SNc,MB,bottom
PPN,PPN,MB,bottom
RAmb,RAmb,MB,bottom
IF,RAmb,MB,bottom
IPN,RAmb,MB,bottom
IPR,RAmb,MB,bottom
IPC,RAmb,MB,bottom
IPA,RAmb,MB,bottom
IPL,RAmb,MB,bottom
IPI,RAmb,MB,bottom
IPDM,RAmb,MB,bottom
IPDL,RAmb,MB,bottom
IPRL,RAmb,MB,bottom
RL,RAmb,MB,bottom
CLI,RAmb,MB,bottom
DR,RAmb,MB,bottom
HB,HB,HB,upper
P,P,HB,bottom
P-sen,P,HB,bottom
NLL,P,HB,bottom
NLLd,P,HB,bottom
NLLh,P,HB,bottom
NLLv,P,HB,bottom
PSV,P,HB,bottom
PB,P,HB,bottom
KF,P,HB,bottom
PBl,P,HB,bottom
PBlc,P,HB,bottom
PBld,P,HB,bottom
PBle,P,HB,bottom
PBls,P,HB,bottom
PBlv,P,HB,bottom
PBm,P,HB,bottom
PBme,P,HB,bottom
PBmm,P,HB,bottom
PBmv,P,HB,bottom
SOC,P,HB,bottom
POR,P,HB,bottom
SOCm,P,HB,bottom
SOCl,P,HB,bottom
P-mot,P,HB,bottom
B,P,HB,bottom
DTN,P,HB,bottom
LTN,P,HB,bottom
PDTg,P,HB,bottom
PCG,P,HB,bottom
PG,P,HB,bottom
PRNc,P,HB,bottom
PRNv,P,HB,bottom
SG,P,HB,bottom
SSN,P,HB,bottom
SUT,P,HB,bottom
TRN,P,HB,bottom
V,P,HB,bottom
P5,P,HB,bottom
Acs5,P,HB,bottom
PC5,P,HB,bottom
I5,P,HB,bottom
P-sat,P,HB,bottom
CS,P,HB,bottom
CSl,P,HB,bottom
CSm,P,HB,bottom
LC,P,HB,bottom
LDT,P,HB,bottom
NI,P,HB,bottom
PRNr,P,HB,bottom
RPO,P,HB,bottom
SLC,P,HB,bottom
SLD,P,HB,bottom
MY,MY,HB,bottom
MY-sen,MY,HB,bottom
AP,MY,HB,bottom
CN,MY,HB,bottom
CNlam,MY,HB,bottom
CNspg,MY,HB,bottom
DCO,MY,HB,bottom
VCO,MY,HB,bottom
DCN,MY,HB,bottom
CU,MY,HB,bottom
GR,MY,HB,bottom
ECU,MY,HB,bottom
NTB,MY,HB,bottom
NTS,MY,HB,bottom
NTSce,MY,HB,bottom
NTSco,MY,HB,bottom
NTSge,MY,HB,bottom
NTSl,MY,HB,bottom
NTSm,MY,HB,bottom
SPVC,MY,HB,bottom
SPVI,MY,HB,bottom
SPVO,MY,HB,bottom
SPVOcdm,MY,HB,bottom
SPVOmdmd,MY,HB,bottom
SPVOmdmv,MY,HB,bottom
SPVOrdm,MY,HB,bottom
SPVOvl,MY,HB,bottom
Pa5,MY,HB,bottom
z,MY,HB,bottom
MY-mot,MY,HB,bottom
VI,MY,HB,bottom
ACVI,MY,HB,bottom
VII,MY,HB,bottom
ACVII,MY,HB,bottom
EV,MY,HB,bottom
AMB,MY,HB,bottom
AMBd,MY,HB,bottom
AMBv,MY,HB,bottom
DMX,MY,HB,bottom
ECO,MY,HB,bottom
GRN,MY,HB,bottom
ICB,MY,HB,bottom
IO,MY,HB,bottom
IRN,MY,HB,bottom
ISN,MY,HB,bottom
LIN,MY,HB,bottom
LRN,MY,HB,bottom
LRNm,MY,HB,bottom
LRNp,MY,HB,bottom
MARN,MY,HB,bottom
MDRN,MY,HB,bottom
MDRNd,MY,HB,bottom
MDRNv,MY,HB,bottom
PARN,MY,HB,bottom
PAS,MY,HB,bottom
PGRN,MY,HB,bottom
PGRNd,MY,HB,bottom
PGRNl,MY,HB,bottom
PHY,MY,HB,bottom
NIS,MY,HB,bottom
NR,MY,HB,bottom
PRP,MY,HB,bottom
PMR,MY,HB,bottom
PPY,MY,HB,bottom
PPYd,MY,HB,bottom
PPYs,MY,HB,bottom
VNC,MY,HB,bottom
LAV,MY,HB,bottom
MV,MY,HB,bottom
SPIV,MY,HB,bottom
SUV,MY,HB,bottom
x,MY,HB,bottom
XII,MY,HB,bottom
y,MY,HB,bottom
INV,MY,HB,bottom
MY-sat,MY,HB,bottom
RM,MY,HB,bottom
RPA,MY,HB,bottom
RO,MY,HB,bottom
CB,CB,CB,upper
CBX,CB,CB,upper
CBXmo,CBXmo,CB,bottom
CBXpu,CBXpu,CB,bottom
CBXgr,CBXgr,CB,bottom
VERM,CB,CB,upper
LING,LING,CB,bottom
LINGmo,LING,CB,bottom
LINGpu,LING,CB,bottom
LINGgr,LING,CB,bottom
CENT,CENT,CB,bottom
CENT2,CENT,CB,bottom
CENT2mo,CENT,CB,bottom
CENT2pu,CENT,CB,bottom
CENT2gr,CENT,CB,bottom
CENT3,CENT,CB,bottom
CENT3mo,CENT,CB,bottom
CENT3pu,CENT,CB,bottom
CENT3gr,CENT,CB,bottom
CUL,CUL,CB,bottom
CUL4,CUL,CB,bottom
CUL4mo,CUL,CB,bottom
CUL4pu,CUL,CB,bottom
CUL4gr,CUL,CB,bottom
CUL5,CUL,CB,bottom
CUL5mo,CUL,CB,bottom
CUL5pu,CUL,CB,bottom
CUL5gr,CUL,CB,bottom
"CUL4, 5",CUL,CB,bottom
"CUL4, 5mo",CUL,CB,bottom
"CUL4, 5pu",CUL,CB,bottom
"CUL4, 5gr",CUL,CB,bottom
DEC,DEC,CB,bottom
DECmo,DEC,CB,bottom
DECpu,DEC,CB,bottom
DECgr,DEC,CB,bottom
FOTU,FOTU,CB,bottom
FOTUmo,FOTU,CB,bottom
FOTUpu,FOTU,CB,bottom
FOTUgr,FOTU,CB,bottom
PYR,PYR,CB,bottom
PYRmo,PYR,CB,bottom
PYRpu,PYR,CB,bottom
PYRgr,PYR,CB,bottom
UVU,UVU,CB,bottom
UVUmo,UVU,CB,bottom
UVUpu,UVU,CB,bottom
UVUgr,UVU,CB,bottom
NOD,NOD,CB,bottom
NODmo,NOD,CB,bottom
NODpu,NOD,CB,bottom
NODgr,NOD,CB,bottom
HEM,CB,CB,upper
SIM,SIM,CB,bottom
SIMmo,SIM,CB,bottom
SIMpu,SIM,CB,bottom
SIMgr,SIM,CB,bottom
AN,AN,CB,bottom
ANcr1,AN,CB,bottom
ANcr1mo,AN,CB,bottom
